#LIBRARY    ENDF/B-VIII.0
#REACTION   O-16(N,TOT),SIG
#NUCLEUS    O-16
#MF         3
#MT         1
#E,eV        Sig,b        Interpolation
 1.68905E+06 2.47275      Lin-Lin
 1.68906E+06 2.50259      Lin-Lin
 1.68906E+06 2.54308      Lin-Lin
 1.68907E+06 2.54648      Lin-Lin
 1.68908E+06 2.59517      Lin-Lin
 1.68908E+06 2.62019      Lin-Lin
 1.68908E+06 2.64597      Lin-Lin
 1.68909E+06 2.69908      Lin-Lin
 1.6891E+06  2.7059       Lin-Lin
 1.6891E+06  2.75837      Lin-Lin
 1.68911E+06 2.7781       Lin-Lin
 1.68911E+06 2.8012       Lin-Lin
 1.68912E+06 2.84246      Lin-Lin
 1.68912E+06 2.90902      Lin-Lin
 1.68912E+06 2.90903      Lin-Lin
 1.68913E+06 2.98606      Lin-Lin
 1.68914E+06 3.03104      Lin-Lin
 1.68914E+06 3.06665      Lin-Lin
 1.68915E+06 3.15382      Lin-Lin
 1.68916E+06 3.17091      Lin-Lin
 1.68916E+06 3.25117      Lin-Lin
 1.68917E+06 3.33031      Lin-Lin
 1.68918E+06 3.39104      Lin-Lin
 1.68918E+06 3.51129      Lin-Lin
 1.68919E+06 3.54519      Lin-Lin
 1.6892E+06  3.71347      Lin-Lin
 1.68922E+06 4.01274      Lin-Lin
 1.68922E+06 4.04304      Lin-Lin
 1.68923E+06 4.24377      Lin-Lin
 1.68924E+06 4.3948       Lin-Lin
 1.68925E+06 4.5465       Lin-Lin
 1.68926E+06 4.69882      Lin-Lin
 1.68926E+06 4.73956      Lin-Lin
 1.68927E+06 4.842        Lin-Lin
 1.68928E+06 4.93539      Lin-Lin
 1.68928E+06 4.96327      Lin-Lin
 1.68928E+06 5.01996      Lin-Lin
 1.68929E+06 5.10093      Lin-Lin
 1.6893E+06  5.15775      Lin-Lin
 1.6893E+06  5.17777      Lin-Lin
 1.6893E+06  5.24475      Lin-Lin
 1.6893E+06  5.2649       Lin-Lin
 1.68931E+06 5.3022       Lin-Lin
 1.68932E+06 5.3503       Lin-Lin
 1.68932E+06 5.35412      Lin-Lin
 1.68932E+06 5.39218      Lin-Lin
 1.68932E+06 5.4113       Lin-Lin
 1.68933E+06 5.42202      Lin-Lin
 1.68933E+06 5.44366      Lin-Lin
 1.68934E+06 5.44581      Lin-Lin
 1.68934E+06 5.44959      Lin-Lin
 1.68934E+06 5.45266      Lin-Lin
 1.68935E+06 5.44861      Lin-Lin
 1.68935E+06 5.43533      Lin-Lin
 1.68936E+06 5.43141      Lin-Lin
 1.68936E+06 5.40992      Lin-Lin
 1.68936E+06 5.38253      Lin-Lin
 1.68937E+06 5.37776      Lin-Lin
 1.68937E+06 5.33076      Lin-Lin
 1.68938E+06 5.30739      Lin-Lin
 1.68938E+06 5.27621      Lin-Lin
 1.68938E+06 5.2141       Lin-Lin
