#LIBRARY    JENDL/HE-2007
#REACTION   H-1(N,NON),SIG
#NUCLEUS    H-1
#MF         3
#MT         3
#E,eV        Sig,b        Interpolation
 281975      5.01285E-05  Lin-Lin
 302116      4.81046E-05  Lin-Lin
 324515      4.61949E-05  Lin-Lin
 344797      4.46997E-05  Lin-Lin
 364670      4.34271E-05  Lin-Lin
 395372      4.17401E-05  Lin-Lin
 418593      4.06937E-05  Lin-Lin
 445821      3.96384E-05  Lin-Lin
 486772      3.83405E-05  Lin-Lin
 500000      3.7981E-05   Lin-Lin
 616928      3.66415E-05  Lin-Lin
 704768      3.54876E-05  Lin-Lin
 805643      3.48293E-05  Lin-Lin
 1.02126E+06 3.44547E-05  Lin-Lin
 1.19976E+06 3.44101E-05  Lin-Lin
 1.3E+06     3.44898E-05  Lin-Lin
 1.43978E+06 3.43514E-05  Lin-Lin
 2E+06       3.42302E-05  Lin-Lin
 3.04232E+06 3.57046E-05  Lin-Lin
 4.08505E+06 3.62736E-05  Lin-Lin
 5E+06       3.64198E-05  Lin-Lin
 7.04938E+06 3.51663E-05  Lin-Lin
 8E+06       3.39402E-05  Lin-Lin
 9.57645E+06 3.28972E-05  Lin-Lin
 1.00575E+07 3.25365E-05  Lin-Lin
 1.01994E+07 3.24301E-05  Lin-Lin
 1.03433E+07 3.23222E-05  Lin-Lin
 1.04892E+07 3.22128E-05  Lin-Lin
 1.06372E+07 3.21018E-05  Lin-Lin
 1.07872E+07 3.19893E-05  Lin-Lin
 1.09394E+07 3.18752E-05  Lin-Lin
 1.10938E+07 3.17595E-05  Lin-Lin
 1.12503E+07 3.16421E-05  Lin-Lin
 1.1409E+07  3.15231E-05  Lin-Lin
 1.157E+07   3.14025E-05  Lin-Lin
 1.17332E+07 3.12801E-05  Lin-Lin
 1.18987E+07 3.11559E-05  Lin-Lin
 1.2E+07     3.108E-05    Lin-Lin
 1.21693E+07 3.09276E-05  Lin-Lin
 1.2341E+07  3.07731E-05  Lin-Lin
 1.25151E+07 3.06164E-05  Lin-Lin
 1.26917E+07 3.04575E-05  Lin-Lin
 1.28707E+07 3.02964E-05  Lin-Lin
 1.3E+07     3.018E-05    Lin-Lin
 1.31834E+07 3.01158E-05  Lin-Lin
 1.33694E+07 3.00507E-05  Lin-Lin
 1.3558E+07  2.99847E-05  Lin-Lin
 1.37493E+07 2.99177E-05  Lin-Lin
 1.39433E+07 2.98499E-05  Lin-Lin
 1.4E+07     2.983E-05    Lin-Lin
 1.41975E+07 2.96582E-05  Lin-Lin
 1.43978E+07 2.94839E-05  Lin-Lin
 1.46009E+07 2.93072E-05  Lin-Lin
 1.48069E+07 2.9128E-05   Lin-Lin
 1.5E+07     2.896E-05    Lin-Lin
#END
